epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,949.16,0.81315,2.24348,1.33964,0.77728,0.82718,0.87676,0.74722,0.6334,0.63192,1.31203,0.00333182,0.00333182,0.00333182
2,1473.13,0.59657,1.02304,1.13015,0.86004,0.88874,0.9112,0.81146,0.52007,0.47847,1.1952,0.00653319,0.00653319,0.00653319
3,1986.23,0.59193,0.96064,1.11778,0.87443,0.91151,0.93053,0.85682,0.41913,0.41206,1.07736,0.00960255,0.00960255,0.00960255
4,2499.04,0.55768,0.9106,1.09756,0.83684,0.93622,0.92845,0.86563,0.39021,0.34046,1.03638,0.009406,0.009406,0.009406
5,3012.01,0.50012,0.8188,1.06643,0.91002,0.95837,0.96371,0.90791,0.36141,0.29112,1.00902,0.009208,0.009208,0.009208
6,3525.31,0.46899,0.75328,1.04929,0.90855,0.97176,0.97644,0.93158,0.33195,0.2587,0.98765,0.00901,0.00901,0.00901
7,4038.87,0.44974,0.71415,1.03885,0.92989,0.95793,0.9713,0.9311,0.3201,0.24442,0.97117,0.008812,0.008812,0.008812
8,4553.22,0.43258,0.68296,1.032,0.95378,0.96127,0.97892,0.93776,0.31997,0.22511,0.97387,0.008614,0.008614,0.008614
9,5055.85,0.42056,0.65781,1.02655,0.94123,0.97158,0.98186,0.94463,0.31319,0.21468,0.96809,0.008416,0.008416,0.008416
10,5542.01,0.41008,0.64139,1.02412,0.96603,0.96662,0.98089,0.94545,0.31121,0.20512,0.96192,0.008218,0.008218,0.008218
11,6025.63,0.4017,0.62343,1.02001,0.98033,0.98415,0.99152,0.95895,0.30234,0.18644,0.95642,0.00802,0.00802,0.00802
12,6512.08,0.39231,0.60676,1.01542,0.97356,0.97873,0.9884,0.95548,0.30336,0.18443,0.95784,0.007822,0.007822,0.007822
13,6998.89,0.38691,0.59568,1.01431,0.98075,0.97419,0.98995,0.95792,0.30179,0.1858,0.9541,0.007624,0.007624,0.007624
14,7491.67,0.38025,0.58304,1.01247,0.98757,0.98304,0.9928,0.96164,0.30133,0.17993,0.95244,0.007426,0.007426,0.007426
15,7981.84,0.37465,0.57224,1.00808,0.99001,0.99171,0.99447,0.96579,0.29448,0.16823,0.94933,0.007228,0.007228,0.007228
16,8476.85,0.37027,0.56423,1.00679,0.98898,0.98585,0.99395,0.96588,0.29232,0.16603,0.94759,0.00703,0.00703,0.00703
17,9279.43,0.36476,0.54814,1.00542,0.9813,0.99194,0.99418,0.96647,0.29102,0.16852,0.94735,0.006832,0.006832,0.006832
18,9777.46,0.3604,0.53927,1.00464,0.98757,0.99084,0.99446,0.96797,0.28734,0.16275,0.94521,0.006634,0.006634,0.006634
19,10282.7,0.35691,0.53609,1.00328,0.99364,0.99087,0.99453,0.96731,0.2891,0.16037,0.94493,0.006436,0.006436,0.006436
20,10790.6,0.35494,0.52691,1.00516,0.99305,0.99271,0.9948,0.96793,0.28642,0.15876,0.94322,0.006238,0.006238,0.006238
21,11296,0.35086,0.51694,1.00095,0.99196,0.994,0.99497,0.9695,0.28554,0.15455,0.94137,0.00604,0.00604,0.00604
22,11805.3,0.34777,0.51259,0.99891,0.99181,0.99507,0.9949,0.96933,0.28474,0.15637,0.94121,0.005842,0.005842,0.005842
23,12309.8,0.34338,0.50161,0.99757,0.99228,0.99589,0.99497,0.96882,0.28341,0.15487,0.9404,0.005644,0.005644,0.005644
24,12820.9,0.34059,0.49262,0.99804,0.99381,0.99585,0.99498,0.96946,0.28354,0.15425,0.94016,0.005446,0.005446,0.005446
25,13323.1,0.33672,0.4869,0.99478,0.99533,0.99521,0.99498,0.97034,0.28186,0.15237,0.93897,0.005248,0.005248,0.005248
26,13817.9,0.3323,0.48214,0.99378,0.99556,0.99556,0.99498,0.97116,0.27982,0.15067,0.93821,0.00505,0.00505,0.00505
27,14316.9,0.3336,0.47435,0.99495,0.99545,0.9963,0.995,0.9715,0.27931,0.1497,0.93773,0.004852,0.004852,0.004852
28,14835.9,0.32889,0.47073,0.99262,0.99568,0.99685,0.995,0.97244,0.27846,0.14815,0.93726,0.004654,0.004654,0.004654
29,15341.7,0.32548,0.4642,0.9927,0.99598,0.99689,0.995,0.97265,0.27826,0.14833,0.93692,0.004456,0.004456,0.004456
30,15873.2,0.32224,0.45716,0.99067,0.99609,0.99695,0.995,0.97236,0.27794,0.14808,0.9368,0.004258,0.004258,0.004258
31,16404.8,0.3212,0.45294,0.98991,0.99613,0.99718,0.995,0.97232,0.27764,0.14765,0.93648,0.00406,0.00406,0.00406
32,16939.4,0.31795,0.44466,0.9887,0.99643,0.99707,0.995,0.97232,0.27747,0.14737,0.93633,0.003862,0.003862,0.003862
33,17473,0.31666,0.43803,0.98943,0.99625,0.99727,0.995,0.97294,0.27716,0.14714,0.93612,0.003664,0.003664,0.003664
34,17989.4,0.31261,0.43414,0.98677,0.99648,0.99704,0.995,0.97268,0.27718,0.1467,0.93587,0.003466,0.003466,0.003466
35,18506.7,0.3097,0.42893,0.98716,0.99649,0.99713,0.995,0.97302,0.27688,0.14606,0.93571,0.003268,0.003268,0.003268
36,19016.5,0.30677,0.4226,0.98508,0.99654,0.99719,0.995,0.97272,0.27677,0.14649,0.93559,0.00307,0.00307,0.00307
37,19523.5,0.30444,0.41457,0.98259,0.99683,0.99743,0.995,0.97283,0.27662,0.14614,0.93541,0.002872,0.002872,0.002872
38,20029.5,0.30289,0.40851,0.98408,0.99675,0.99755,0.995,0.97281,0.27594,0.14568,0.93522,0.002674,0.002674,0.002674
39,20536.1,0.2991,0.40517,0.98161,0.99718,0.99768,0.995,0.97299,0.27545,0.14522,0.93505,0.002476,0.002476,0.002476
40,21056.2,0.29611,0.39394,0.98096,0.99725,0.99784,0.995,0.97316,0.27493,0.14519,0.93478,0.002278,0.002278,0.002278
41,21617.6,0.34906,0.18691,1.07386,0.99734,0.99793,0.995,0.97324,0.27427,0.14432,0.93443,0.00208,0.00208,0.00208
42,22144.6,0.33849,0.17887,1.06041,0.99745,0.99801,0.995,0.97358,0.27308,0.14322,0.934,0.001882,0.001882,0.001882
43,22659.2,0.33177,0.17269,1.05458,0.99749,0.9983,0.995,0.9741,0.27195,0.14223,0.93336,0.001684,0.001684,0.001684
44,23173.3,0.32853,0.16871,1.05004,0.9977,0.9985,0.995,0.97442,0.27073,0.14163,0.93284,0.001486,0.001486,0.001486
45,23680,0.3242,0.16339,1.04773,0.99769,0.99865,0.995,0.9743,0.26982,0.14086,0.93246,0.001288,0.001288,0.001288
46,24265.5,0.31548,0.15803,1.03742,0.99781,0.99873,0.995,0.97434,0.2687,0.13994,0.93189,0.00109,0.00109,0.00109
47,24924.6,0.31106,0.15411,1.03596,0.99779,0.99879,0.995,0.97435,0.26767,0.13979,0.93137,0.000892,0.000892,0.000892
48,25551.1,0.3073,0.15,1.03134,0.99789,0.99873,0.995,0.97463,0.26639,0.13876,0.93078,0.000694,0.000694,0.000694
49,26047.8,0.30197,0.147,1.02631,0.99771,0.99873,0.995,0.9747,0.26536,0.13803,0.9303,0.000496,0.000496,0.000496
